roll black pink score height start
392 2 1 0 1 0
393 2 4 5 1 0
394 1 1 1 1 0
395 4 4 20 1 0
396 1 4 5 1 0
397 5 1 10 1 0
398 1 4 5 1 0
399 2 1 0 1 0
400 3 4 10 1 0
401 1 4 5 1 0
402 2 1 0 1 0
403 1 1 1 1 0
404 1 5 10 1 0
405 2 4 5 1 0
406 1 1 1 1 0
407 2 4 5 1 0
408 3 1 5 1 0
409 2 2 1 1 0
410 4 1 5 1 0
411 1 2 0 1 0
412 4 1 5 1 0
413 3 2 5 1 0
414 1 2 0 1 0
415 5 1 10 1 0
416 4 2 5 1 0
417 1 1 1 1 0
418 4 2 5 1 0
419 4 4 20 1 0
420 2 2 1 1 0
421 1 5 10 1 0
422 2 3 5 1 0
423 3 4 10 1 0
424 2 3 5 1 0
425 4 2 5 1 0
426 5 3 15 1 0
427 1 1 1 1 0
428 1 2 0 1 0
429 3 2 5 1 0
430 2 4 5 1 0
431 3 2 5 1 0
432 2 4 5 1 0
433 2 4 5 1 0
434 1 1 1 1 0
435 1 4 5 1 0
436 4 2 5 1 0
437 2 4 5 1 0
438 4 2 5 1 0
439 4 1 5 1 0
440 3 2 5 1 0
441 1 4 5 1 0
442 4 3 10 1 0
443 2 4 5 1 0
444 5 4 15 1 0
445 4 2 5 1 0
446 4 4 20 1 0
447 4 1 5 1 0
448 1 2 0 1 0
449 4 4 20 1 0
450 1 3 5 1 0
451 2 2 1 1 0
452 4 3 10 1 0
453 4 2 5 1 0
454 2 2 1 1 0
455 1 1 1 1 0
456 2 2 1 1 0
457 1 2 0 1 0
458 2 2 1 1 0
459 3 1 5 1 0
460 2 2 1 1 0
461 5 2 10 1 0
462 2 1 0 1 0
463 1 1 1 1 0
464 2 2 1 1 0
465 4 4 20 1 0
466 1 5 10 1 0
467 2 1 0 1 0
468 2 4 5 1 0
469 2 1 0 1 0
470 2 1 0 1 0
471 4 4 20 1 0
472 1 1 1 1 0
473 1 2 0 1 0
474 4 2 5 1 0
475 2 1 0 1 0
476 1 1 1 1 0
477 1 2 0 1 0
478 4 3 10 1 0
479 1 2 0 1 0
480 1 2 0 1 0
481 1 4 5 1 0
482 3 5 15 1 0
483 3 2 5 1 0
484 1 4 5 1 0
485 1 3 5 1 0
486 2 2 1 1 0
487 3 1 5 1 0
488 3 2 5 1 0
489 1 1 1 1 0
490 3 3 20 1 0
491 1 1 1 1 0
492 3 2 5 1 0
493 2 1 0 1 0
494 1 4 5 1 0
495 1 4 5 1 0
496 2 2 1 1 0
497 2 1 0 1 0
498 1 4 5 1 0
499 2 1 0 1 0
500 2 4 5 1 0
501 3 1 5 1 0
502 1 1 1 1 0
503 1 2 0 1 0
504 2 4 5 1 0
505 4 4 20 1 0
506 2 1 0 1 0
507 2 1 0 1 0
508 2 1 0 1 0
509 1 2 0 1 0
510 4 1 5 1 0
511 5 4 15 1 0
512 3 3 20 1 0
513 4 3 10 1 0
514 2 2 1 1 0
515 2 2 1 1 0
516 2 2 1 1 0
517 4 4 20 1 0
518 2 1 0 1 0
519 2 2 1 1 0
520 2 2 1 1 0
521 1 2 0 1 0
522 1 4 5 1 0
523 2 1 0 1 0
524 1 1 1 1 0
525 3 4 10 1 0
526 1 2 0 1 0
527 2 3 5 1 0
528 3 1 5 1 0
529 1 4 5 1 0
530 4 2 5 1 0
531 4 1 5 1 0
532 3 2 5 1 0
533 2 3 5 1 0
534 2 4 5 1 0
535 4 5 15 1 0
536 2 3 5 1 0
537 2 4 5 1 0
538 4 3 10 1 0
539 5 1 10 1 0
540 4 2 5 1 0
541 1 1 1 1 0
542 4 2 5 1 0
543 4 2 5 1 0
544 1 1 1 1 0
545 1 4 5 1 0
546 2 1 0 1 0
547 4 2 5 1 0
548 2 2 1 1 0
549 3 2 5 1 0
550 4 2 5 1 0
551 1 1 1 1 0
552 3 2 5 1 0
553 2 3 5 1 0
554 1 2 0 1 0
555 1 2 0 1 0
556 4 1 5 1 0
557 1 1 1 1 0
558 4 4 20 1 0
559 1 1 1 1 0
560 1 1 1 1 0
561 3 2 5 1 0
562 4 4 20 1 0
563 4 2 5 1 0
564 1 3 5 1 0
565 4 4 20 1 0
566 1 5 10 1 0
567 1 4 5 1 0
568 2 2 1 1 0
569 1 1 1 1 0
570 1 2 0 1 0
571 1 2 0 1 0
572 1 2 0 1 0
573 2 2 1 1 0
574 3 4 10 1 0
575 2 3 5 1 0
576 2 4 5 1 0
577 1 2 0 1 0
578 4 2 5 1 0
579 2 4 5 1 0
580 2 4 5 1 0
581 2 2 1 1 0
582 2 5 10 1 0
583 7 7 -1 1 0
584 1 2 0 1 0
585 2 1 0 1 0
586 3 1 5 1 0
587 3 1 5 1 0
588 3 1 5 1 0
589 3 1 5 1 0
590 2 4 5 1 0
591 2 1 0 1 0
592 4 4 20 1 0
593 1 2 0 1 0
594 2 1 0 1 0
595 3 5 15 1 0
596 4 4 20 1 0
597 3 1 5 1 0
598 1 1 1 1 0
599 2 1 0 1 0
600 1 2 0 1 0
601 1 2 0 1 0
602 1 3 5 1 0
603 2 4 5 1 0
604 1 1 1 1 0
605 1 1 1 1 0
606 4 1 5 1 0
607 2 3 5 1 0
608 3 1 5 1 0
609 1 4 5 1 0
610 4 4 20 1 0
611 3 2 5 1 0
612 1 4 5 1 0
613 3 4 10 1 0
614 1 1 1 1 0
615 4 2 5 1 0
616 1 1 1 1 0
617 1 2 0 1 0
618 2 3 5 1 0
619 2 2 1 1 0
620 3 1 5 1 0
621 1 2 0 1 0
622 1 4 5 1 0
623 1 1 1 1 0
624 1 5 10 1 0
625 2 2 1 1 0
626 5 4 15 1 0
627 2 3 5 1 0
628 2 4 5 1 0
629 4 4 20 1 0
630 4 2 5 1 0
631 4 1 5 1 0
632 4 1 5 1 0
633 1 1 1 1 0
634 2 4 5 1 0
635 2 2 1 1 0
636 1 3 5 1 0
637 2 4 5 1 0
638 1 1 1 1 0
639 4 2 5 1 0
640 1 2 0 1 0
641 4 4 20 1 0
642 1 5 10 1 0
643 3 2 5 1 0
644 2 2 1 1 0
645 1 2 0 1 0
646 1 2 0 1 0
647 1 2 0 1 0
648 4 3 10 1 0
649 2 1 0 1 0
650 2 3 5 1 0
651 7 7 -1 1 0
652 2 2 1 1 0
653 2 3 5 1 0
654 4 2 5 1 0
655 5 3 15 1 0
656 4 1 5 1 0
657 1 4 5 1 0
658 5 1 10 1 0
659 2 1 0 1 0
660 1 3 5 1 0
661 5 1 10 1 0
662 2 1 0 1 0
663 2 4 5 1 0
664 5 1 10 1 0
665 1 1 1 1 0
666 2 1 0 1 0
667 2 1 0 1 0
668 1 4 5 1 0
669 5 3 15 1 0
670 4 1 5 1 0
671 4 3 10 1 0
672 1 1 1 1 0
673 2 3 5 1 0
674 4 4 20 1 0
675 2 4 5 1 0
676 1 1 1 1 0
677 1 4 5 1 0
678 2 1 0 1 0
679 5 2 10 1 0
680 2 4 5 1 0
681 4 2 5 1 0
682 4 3 10 1 0
683 1 4 5 1 0
684 2 4 5 1 0
685 2 3 5 1 0
686 1 4 5 1 0
687 1 4 5 1 0
688 2 1 0 1 0
689 4 2 5 1 0
690 1 4 5 1 0
691 4 1 5 1 0
692 1 2 0 1 0
693 1 2 0 1 0
694 6 1 15 1 0
695 3 1 5 1 0
696 5 4 15 1 0
697 1 2 0 1 0
698 1 4 5 1 0
699 3 2 5 1 0
700 4 1 5 1 0
701 4 3 10 1 0
702 4 2 5 1 0
703 3 1 5 1 0
704 2 3 5 1 0
705 2 3 5 1 0
706 4 2 5 1 0
707 1 2 0 1 0
708 4 1 5 1 0
709 4 3 10 1 0
710 1 2 0 1 0
711 4 1 5 1 0
712 2 2 1 1 0
713 1 3 5 1 0
714 1 2 0 1 0
715 2 2 1 1 0
716 1 4 5 1 0
717 2 4 5 1 0
718 2 2 1 1 0
719 1 1 1 1 0
720 1 3 5 1 0
721 1 2 0 1 0
722 1 2 0 1 0
723 1 2 0 1 0
724 2 1 0 1 0
725 3 4 10 1 0
726 4 1 5 1 0
727 2 2 1 1 0
728 4 1 5 1 0
729 1 2 0 1 0
730 2 2 1 1 0
731 1 4 5 1 0
732 1 4 5 1 0
733 2 2 1 1 0
734 1 1 1 1 0
735 3 1 5 1 0
736 1 3 5 1 0
737 2 4 5 1 0
738 1 2 0 1 0
739 1 1 1 1 0
740 4 1 5 1 0
741 2 2 1 1 0
742 4 2 5 1 0
743 4 2 5 1 0
744 1 4 5 1 0
745 1 2 0 1 0
746 3 3 20 1 0
747 4 4 20 1 0
748 2 1 0 1 0
749 2 4 5 1 0
750 1 2 0 1 0
751 3 4 10 1 0
752 5 2 10 1 0
753 4 1 5 1 0
754 2 1 0 1 0
755 1 1 1 1 0
756 2 4 5 1 0
757 1 4 5 1 0
758 2 2 1 1 0
759 1 4 5 1 0
760 2 2 1 1 0
761 2 1 0 1 0
762 5 1 10 1 0
763 1 4 5 1 0
764 2 4 5 1 0
765 1 1 1 1 0
766 4 2 5 1 0
767 1 2 0 1 0
768 2 4 5 1 0
769 1 2 0 1 0
770 1 1 1 1 0
771 3 2 5 1 0
772 2 4 5 1 0
773 4 4 20 1 0
774 3 1 5 1 0
775 4 2 5 1 0
776 1 1 1 1 0
777 3 2 5 1 0
778 1 2 0 1 0
779 4 4 20 1 0
780 1 2 0 1 0
781 3 4 10 1 0
782 4 2 5 1 0
783 2 5 10 1 0
784 4 2 5 1 0
785 1 2 0 1 0
786 4 1 5 1 0
787 3 4 10 1 0
788 2 2 1 1 0
789 4 4 20 1 0
790 2 6 15 1 0
791 1 2 0 1 0
792 1 4 5 1 0
793 2 1 0 1 0
794 4 2 5 1 0
795 1 1 1 1 0
796 1 2 0 1 0
797 3 3 20 1 0
798 4 2 5 1 0
799 1 2 0 1 0
800 4 2 5 1 0
801 2 2 1 1 0
802 5 3 15 1 0
803 2 5 10 1 0
804 1 1 1 1 0
805 2 2 1 1 0
806 4 2 5 1 0
807 1 1 1 1 0
808 4 2 5 1 0
809 1 4 5 1 0
810 4 1 5 1 0
811 4 1 5 1 0
812 1 4 5 1 0
813 1 2 0 1 0
814 1 1 1 1 0
815 2 2 1 1 0
816 2 1 0 1 0
817 5 2 10 1 0
818 4 1 5 1 0
819 2 4 5 1 0
820 1 1 1 1 0
821 2 2 1 1 0
822 2 4 5 1 0
823 1 1 1 1 0
824 4 3 10 1 0
825 2 6 15 1 0
826 4 1 5 1 0
827 4 3 10 1 0
828 1 4 5 1 0
829 2 1 0 1 0
830 2 2 1 1 0
831 3 4 10 1 0
832 1 1 1 1 0
833 3 1 5 1 0
834 1 4 5 1 0
835 5 4 15 1 0
836 3 4 10 1 0
837 2 1 0 1 0
838 1 5 10 1 0
839 2 1 0 1 0
840 2 1 0 1 0
841 2 4 5 1 0
842 4 1 5 1 0
843 1 2 0 1 0
844 5 5 40 1 0
845 4 1 5 1 0
846 1 4 5 1 0
847 3 1 5 1 0
848 2 1 0 1 0
849 2 4 5 1 0
850 4 5 15 1 0
851 2 2 1 1 0
852 1 4 5 1 0
853 1 4 5 1 0
854 2 2 1 1 0
855 2 1 0 1 0
856 2 3 5 1 0
857 1 1 1 1 0
858 2 2 1 1 0
859 2 4 5 1 0
860 1 4 5 1 0
861 1 4 5 1 0
862 5 2 10 1 0
863 2 4 5 1 0
864 1 1 1 1 0
865 2 3 5 1 0
866 1 6 15 1 0
867 3 2 5 1 0
868 4 2 5 1 0
869 1 3 5 1 0
870 1 1 1 1 0
871 4 1 5 1 0
872 2 1 0 1 0
873 4 2 5 1 0
874 2 2 1 1 0
875 1 3 5 1 0
876 2 2 1 1 0
877 4 2 5 1 0
878 1 2 0 1 0
879 1 2 0 1 0
880 4 1 5 1 0
881 4 2 5 1 0
882 4 4 20 1 0
883 2 1 0 1 0
884 2 2 1 1 0
885 3 2 5 1 0
886 1 1 1 1 0
887 1 1 1 1 0
888 2 3 5 1 0
889 2 1 0 1 0
890 4 1 5 1 0
891 4 2 5 1 0
892 1 2 0 1 0
893 2 4 5 1 0
894 4 1 5 1 0
895 1 4 5 1 0
896 1 5 10 1 0
897 4 2 5 1 0
898 2 1 0 1 0
899 3 4 10 1 0
900 4 3 10 1 0
901 2 2 1 1 0
902 4 5 15 1 0
903 2 4 5 1 0
904 1 4 5 1 0
905 2 3 5 1 0
906 1 3 5 1 0
907 2 1 0 1 0
908 4 2 5 1 0
909 3 1 5 1 0
910 3 3 20 1 0
911 2 2 1 1 0
912 3 1 5 1 0
913 4 2 5 1 0
914 1 2 0 1 0
915 3 5 15 1 0
916 1 4 5 1 0
917 1 3 5 1 0
918 3 3 20 1 0
919 1 1 1 1 0
920 4 3 10 1 0
921 4 4 20 1 0
922 3 2 5 1 0
923 3 4 10 1 0
924 2 2 1 1 0
925 4 5 15 1 0
926 2 1 0 1 0
927 3 2 5 1 0
928 2 5 10 1 0
929 4 4 20 1 0
930 1 4 5 1 0
931 4 2 5 1 0
932 4 1 5 1 0
933 1 1 1 1 0
934 1 1 1 1 0
935 4 4 20 1 0
936 1 4 5 1 0
937 2 4 5 1 0
938 2 1 0 1 0
939 1 4 5 1 0
940 1 4 5 1 0
941 1 4 5 1 0
942 4 2 5 1 0
943 1 2 0 1 0
944 4 1 5 1 0
945 1 1 1 1 0
946 1 2 0 1 0
947 4 1 5 1 0
948 2 2 1 1 0
949 2 3 5 1 0
950 5 1 10 1 0
951 1 4 5 1 0
952 4 1 5 1 0
953 4 1 5 1 0
954 3 5 15 1 0
955 2 2 1 1 0
956 3 1 5 1 0
957 1 2 0 1 0
958 2 2 1 1 0
959 2 4 5 1 0
960 2 4 5 1 0
961 4 1 5 1 0
962 4 4 20 1 0
963 7 7 -1 1 0
964 1 1 1 1 0
965 3 4 10 1 0
966 1 2 0 1 0
967 3 3 20 1 0
968 1 2 0 1 0
969 1 2 0 1 0
970 2 2 1 1 0
971 2 4 5 1 0
972 4 2 5 1 0
973 1 2 0 1 0
974 4 2 5 1 0
975 2 2 1 1 0
976 4 1 5 1 0
977 2 1 0 1 0
978 2 2 1 1 0
979 2 3 5 1 0
980 1 3 5 1 0
981 2 1 0 1 0
982 2 1 0 1 0
983 3 2 5 1 0
984 2 1 0 1 0
985 2 2 1 1 0
986 3 4 10 1 0
987 4 1 5 1 0
988 4 2 5 1 0
989 2 3 5 1 0
990 2 2 1 1 0
991 4 1 5 1 0
992 3 1 5 1 0
993 2 3 5 1 0
994 2 2 1 1 0
995 3 5 15 1 0
996 2 3 5 1 0
997 2 1 0 1 0
998 2 1 0 1 0
999 1 2 0 1 0
1000 1 1 1 1 0
1001 2 4 5 1 0
1002 2 4 5 1 0
1003 1 1 1 1 0
1004 4 2 5 1 0
1005 2 4 5 1 0
1006 1 1 1 1 0
1007 4 1 5 1 0
1008 4 2 5 1 0
1009 4 2 5 1 0
1010 1 2 0 1 0
1011 2 4 5 1 0
1012 3 2 5 1 0
1013 4 4 20 1 0
1014 2 4 5 1 0
1015 2 5 10 1 0
1016 5 4 15 1 0
1017 1 2 0 1 0
1018 5 6 25 1 0
1019 2 3 5 1 0
1020 1 2 0 1 0
1021 1 1 1 1 0
1022 2 5 10 1 0
1023 1 3 5 1 0
1024 2 2 1 1 0
1025 3 1 5 1 0
1026 2 1 0 1 0
1027 4 4 20 1 0
1028 1 1 1 1 0
1029 2 2 1 1 0
1030 4 2 5 1 0
1031 2 2 1 1 0
1032 2 3 5 1 0
1033 4 2 5 1 0
1034 4 1 5 1 0
1035 1 2 0 1 0
1036 1 1 1 1 0
1037 1 4 5 1 0
1038 1 2 0 1 0
1039 1 5 10 1 0
1040 3 2 5 1 0
1041 2 2 1 1 0
1042 2 1 0 1 0
1043 1 2 0 1 0
1044 2 2 1 1 0
1045 3 3 20 1 0
1046 3 2 5 1 0
1047 2 4 5 1 0
1048 1 2 0 1 0
1049 2 4 5 1 0
1050 4 2 5 1 0
1051 4 3 10 1 0
1052 3 1 5 1 0
1053 2 4 5 1 0
1054 2 1 0 1 0
1055 1 1 1 1 0
1056 1 2 0 1 0
1057 2 2 1 1 0
1058 4 2 5 1 0
1059 3 4 10 1 0
1060 5 2 10 1 0
1061 4 5 15 1 0
1062 2 2 1 1 0
1063 4 2 5 1 0
1064 2 2 1 1 0
1065 4 4 20 1 0
1066 4 1 5 1 0
1067 4 1 5 1 0
1068 1 2 0 1 0
1069 6 4 20 1 0
1070 1 1 1 1 0
1071 2 2 1 1 0
1072 2 4 5 1 0
1073 5 1 10 1 0
1074 2 1 0 1 0
1075 2 3 5 1 0
1076 2 2 1 1 0
1077 2 5 10 1 0
1078 1 1 1 1 0
1079 2 4 5 1 0
1080 2 1 0 1 0
1081 1 3 5 1 0
1082 2 2 1 1 0
1083 2 4 5 1 0
1084 2 2 1 1 0
1085 2 2 1 1 0
1086 2 4 5 1 0
1087 4 4 20 1 0
1088 1 1 1 1 0
1089 4 3 10 1 0
1090 1 1 1 1 0
1091 1 3 5 1 0
1092 1 2 0 1 0
1093 2 2 1 1 0
1094 1 2 0 1 0
1095 2 6 15 1 0
1096 1 3 5 1 0
1097 1 2 0 1 0
1098 4 1 5 1 0
1099 1 4 5 1 0
1100 2 1 0 1 0
1101 4 1 5 1 0
1102 1 1 1 1 0
1103 1 1 1 1 0
1104 4 1 5 1 0
1105 2 1 0 1 0
1106 4 1 5 1 0
1107 2 4 5 1 0
1108 2 2 1 1 0
1109 2 1 0 1 0
1110 2 2 1 1 0
1111 4 2 5 1 0
1112 2 3 5 1 0
1113 1 1 1 1 0
1114 4 4 20 1 0
1115 1 1 1 1 0
1116 1 1 1 1 0
1117 4 3 10 1 0
1118 4 4 20 1 0
1119 1 2 0 1 0
1120 2 4 5 1 0
1121 5 5 40 1 0
1122 3 1 5 1 0
1123 2 4 5 1 0
1124 1 3 5 1 0
1125 1 4 5 1 0
1126 3 1 5 1 0
1127 1 4 5 1 0
1128 4 1 5 1 0
1129 2 4 5 1 0
1130 3 1 5 1 0
1131 4 2 5 1 0
1132 4 4 20 1 0
1133 4 2 5 1 0
1134 1 1 1 1 0
1135 1 2 0 1 0
1136 3 1 5 1 0
1137 2 4 5 1 0
1138 3 4 10 1 0
1139 4 2 5 1 0
1140 2 4 5 1 0
1141 2 4 5 1 0
1142 1 5 10 1 0
1143 4 1 5 1 0
1144 1 1 1 1 0
1145 2 1 0 1 0
1146 2 2 1 1 0
1147 2 3 5 1 0
1148 2 4 5 1 0
1149 2 1 0 1 0
1150 1 1 1 1 0
1151 5 4 15 1 0
1152 2 4 5 1 0
